Comment,Designator,Footprint,LCSC
0R,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
100uF,C1,CP_Radial_D8.0mm_P2.50mm,
ATTINY44-20PU,U1,DIP-14_W10.16mm_LongPads,
FINDER-40.52,K6,Relay_DPDT_Finder_40.52,
FINDER-40.52,K5,Relay_DPDT_Finder_40.52,
FINDER-40.52,K4,Relay_DPDT_Finder_40.52,
FINDER-40.52,K3,Relay_DPDT_Finder_40.52,
FINDER-36.11,K2,Relay_SPDT_Finder_40.31,
FINDER-36.11,K1,Relay_SPDT_Finder_40.31,
Conn_01x03,J4,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",
Conn_01x03,J2,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",
Conn_01x02,J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",
ULN2003A,U2,DIP-16_W10.16mm_LongPads,
Conn_01x03,J3,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",
LD05-23B05R2,PS1,CONV_LD05-23B05R2,
R_Potentiometer,RV1,Potentiometer_Bourns_3296W_Vertical,
10K,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
10K,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,
Fuse,F1,Fuse_Bourns_MF-RHT070,
