Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CP_Radial_D8.0mm_P2.50mm,142.1,-134.452651,90.0,top
F1,Fuse,Fuse_Bourns_MF-RHT070,179.77,-115.28,180.0,top
J1,Conn_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",178.69,-124.76,90.0,top
J2,Conn_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",135.1325,-74.1325,180.0,top
J3,Conn_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",170.32,-74.245,180.0,top
J4,Conn_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",104.36,-74.04,180.0,top
K1,FINDER-36.11,Relay_SPDT_Finder_40.31,175.5375,-83.8875,-90.0,top
K2,FINDER-36.11,Relay_SPDT_Finder_40.31,161.9475,-83.9275,-90.0,top
K3,FINDER-40.52,Relay_DPDT_Finder_40.52,124.83,-106.875,90.0,top
K4,FINDER-40.52,Relay_DPDT_Finder_40.52,138.3075,-106.8975,90.0,top
K5,FINDER-40.52,Relay_DPDT_Finder_40.52,94.1,-106.85,90.0,top
K6,FINDER-40.52,Relay_DPDT_Finder_40.52,107.36,-106.84,90.0,top
PS1,LD05-23B05R2,CONV_LD05-23B05R2,159.67,-124.22,180.0,top
R1,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,134.04,-121.39,180.0,top
R2,10K,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,134.27,-118.89,180.0,top
R3,0R,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,97.58,-114.05,180.0,top
RV1,R_Potentiometer,Potentiometer_Bourns_3296W_Vertical,135.36,-128.6,0.0,top
U1,ATTINY44-20PU,DIP-14_W10.16mm_LongPads,123.345,-134.125,180.0,top
U2,ULN2003A,DIP-16_W10.16mm_LongPads,108.705,-134.145,180.0,top
