Comment,Designator,Footprint,LCSC
Conn_01x04,J8,PinHeader_1x04_P2.54mm_Vertical,
LM7805,U1,SOT-223,
470pf,C2,C_0805_2012Metric,
100uf 25v,C1,CP_Elec_6.3x5.4,
AMS1117-3.3,U2,SOT-223-3_TabPin2,
Conn_01x05,J3,PinHeader_1x05_P2.54mm_Vertical,
Jack-DC,J1,BarrelJack_Horizontal,
Conn_01x05,J4,PinHeader_1x05_P2.54mm_Vertical,
Conn_01x02,J7,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x05,J6,PinHeader_1x05_P2.54mm_Vertical,
Conn_01x05,J5,PinHeader_1x05_P2.54mm_Vertical,
1N4007,D1,D_MicroMELF,
10k,R2,R_0805_2012Metric,
"0,01pf",C4,C_0805_2012Metric,
Crystal_GND2_Small,Y1,Crystal_HC49-U-3Pin_Vertical,
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Vertical,
"0,01pf",C5,C_0805_2012Metric,
BC848,Q1,SOT-23,
10k,R3,R_0805_2012Metric,
2SC4213,Q3,SOT-323_SC-70,
"0,01pf",C6,C_0805_2012Metric,
CH340G,U4,SOIC-16_3.9x9.9mm_P1.27mm,
ESP32-WROOM-32,U3,ESP32-WROOM-32,
10k,R4,R_0805_2012Metric,
"0,01pf",C3,C_0805_2012Metric,
2SC4213,Q2,SOT-323_SC-70,
1k,R1,R_0805_2012Metric,
