Designator,Footprint,Quantity,Value,LCSC Part #
U1,SOT-223,1,LM7805,
C2,C_0805_2012Metric,1,470pf,
C1,CP_Elec_6.3x5.4,1,100uf 25v,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
J8,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J1,BarrelJack_Horizontal,1,Jack-DC,
J4,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J6,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J5,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
D1,D_MicroMELF,1,1N4007,
R2,R_0805_2012Metric,1,10k,
C4,C_0805_2012Metric,1,"0,01pf",
Y1,Crystal_HC49-U-3Pin_Vertical,1,Crystal_GND2_Small,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
C5,C_0805_2012Metric,1,"0,01pf",
Q1,SOT-23,1,BC848,
R3,R_0805_2012Metric,1,10k,
Q3,SOT-323_SC-70,1,2SC4213,
C6,C_0805_2012Metric,1,"0,01pf",
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,
R4,R_0805_2012Metric,1,10k,
C3,C_0805_2012Metric,1,"0,01pf",
Q2,SOT-323_SC-70,1,2SC4213,
R1,R_0805_2012Metric,1,1k,
