Designator,Mid X,Mid Y,Rotation,Layer
U1,346.106,-128.27,0.0,top
C2,339.852,-119.38,90.0,top
C1,346.964,-136.144,0.0,top
U2,346.106,-120.202,0.0,top
J8,273.558,-118.628,0.0,top
J3,79.248,-141.219,180.0,top
J1,342.8,-147.6,180.0,top
J4,206.248,-141.219,180.0,top
J7,334.264,-150.119,180.0,top
J6,336.36,-141.219,180.0,top
J5,209.296,-141.219,180.0,top
D1,340.614,-143.764,-90.0,top
R2,316.748,-130.618,90.0,bottom
C4,276.606,-133.604,0.0,bottom
Y1,276.352,-138.52,-90.0,bottom
J2,289.972,-147.574,90.0,bottom
C5,276.266,-148.624,0.0,bottom
Q1,318.516,-140.97,0.0,bottom
R3,286.458,-133.53,0.0,bottom
Q3,284.298,-131.116,180.0,bottom
C6,320.04,-129.286,0.0,bottom
U4,286.512,-139.446,90.0,bottom
U3,304.546,-137.16,180.0,bottom
R4,287.092,-128.704,180.0,bottom
C3,320.03,-132.01,0.0,bottom
Q2,288.616,-131.206,0.0,bottom
R1,317.5,-144.526,90.0,bottom
