Designator,Footprint,Quantity,Value,LCSC Part #
A1,ARDUINO_A000067,1,A000067,
U4,SOIC127P600X175-14N,1,MCP6004-I/SL,
U3,SOIC127P600X175-14N,1,MCP6004-I/SL,
U2,SOIC127P600X175-14N,1,MCP6004-I/SL,
U1,SOIC127P600X175-14N,1,MCP6004-I/SL,
C15,C_0805_2012Metric,1,C,
C16,C_0805_2012Metric,1,C,
C14,C_0805_2012Metric,1,C,
C13,C_0805_2012Metric,1,C,
Sensor14,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 14,
Sensor15,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 15,
Sensor13,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 13,
U5,TO-220-3_Vertical,1,LM317_TO-220,
RV13,Potentiometer_Bourns_3296W_Vertical,1,Sensor 12,
RV14,Potentiometer_Bourns_3296W_Vertical,1,Sensor 13,
RV15,Potentiometer_Bourns_3296W_Vertical,1,Sensor 14,
RV17,Potentiometer_Bourns_3296W_Vertical,1,V-Ref,
C10,C_0805_2012Metric,1,C,
C9,C_0805_2012Metric,1,C,
C11,C_0805_2012Metric,1,C,
C12,C_0805_2012Metric,1,C,
Sensor12,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 12,
Sensor10,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 10,
Sensor9,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor9,
RV9,Potentiometer_Bourns_3296W_Vertical,1,Sensor 8,
RV10,Potentiometer_Bourns_3296W_Vertical,1,Sensor9,
RV11,Potentiometer_Bourns_3296W_Vertical,1,Sensor 10,
RV12,Potentiometer_Bourns_3296W_Vertical,1,Sensor 11,
C8,C_0805_2012Metric,1,C,
C7,C_0805_2012Metric,1,C,
C6,C_0805_2012Metric,1,C,
C5,C_0805_2012Metric,1,C,
Sensor8,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 8,
Sensor6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 6,
Sensor5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 5,
RV8,Potentiometer_Bourns_3296W_Vertical,1,Sensor 4,
RV7,Potentiometer_Bourns_3296W_Vertical,1,Sensor 3,
RV6,Potentiometer_Bourns_3296W_Vertical,1,Sensor 2,
RV5,Potentiometer_Bourns_3296W_Vertical,1,Sensor 1,
C2,C_0805_2012Metric,1,C,
RV3,Potentiometer_Bourns_3296W_Vertical,1,Sensor 3,
RV2,Potentiometer_Bourns_3296W_Vertical,1,Sensor 2,
RV1,Potentiometer_Bourns_3296W_Vertical,1,Sensor 1,
Sensor3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 3,
Sensor2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 2,
Sensor1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sensor 1,
RV16,Potentiometer_Bourns_3296W_Vertical,1,Sensor 15,
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,120R,
C4,C_0805_2012Metric,1,C,
C1,C_0805_2012Metric,1,C,
C3,C_0805_2012Metric,1,C,
RV4,Potentiometer_Bourns_3296W_Vertical,1,Sensor 4,
