Designator,Mid X,Mid Y,Rotation,Layer
A1,64.03,-111.955,0.0,top
U4,51.8,-94.345,-90.0,top
U3,72.76,-140.56,180.0,top
U2,72.6225,-111.225,180.0,top
U1,72.21,-82.15,180.0,top
C15,54.2,-114.65,90.0,top
C16,54.2,-107.4,-90.0,top
C14,54.3,-136.95,90.0,top
C13,54.3,-143.85,-90.0,top
Sensor14,49.1,-138.1,90.0,top
Sensor16,48.95,-108.5,90.0,top
Sensor15,49.0,-115.6,90.0,top
Sensor13,49.1,-145.3,90.0,top
U5,46.26,-79.845,0.0,top
RV13,54.55,-150.6,0.0,top
RV14,54.55,-130.8,0.0,top
RV15,49.3,-120.9,180.0,top
RV17,51.4,-86.0,0.0,top
C10,78.1,-137.09,90.0,top
C9,77.84,-143.42,-90.0,top
C11,66.99,-137.1,90.0,top
C12,67.0,-143.42,-90.0,top
Sensor12,62.0,-145.0,90.0,top
Sensor11,62.0,-137.6,90.0,top
Sensor10,83.31,-135.63,-90.0,top
Sensor9,83.28,-142.7,-90.0,top
RV9,82.98,-150.03,0.0,top
RV10,83.02,-130.3,0.0,top
RV11,62.3,-130.32,180.0,top
RV12,62.24,-150.15,180.0,top
C8,67.06,-114.72,-90.0,top
C7,67.17,-107.74,90.0,top
C6,77.98,-107.74,90.0,top
C5,78.01,-114.73,-90.0,top
Sensor8,62.0,-115.8,90.0,top
Sensor7,62.0,-108.69,90.0,top
Sensor6,83.03,-106.69,-90.0,top
Sensor5,83.08,-113.82,-90.0,top
RV8,62.25,-121.08,180.0,top
RV7,62.25,-101.28,180.0,top
RV6,82.76,-101.28,0.0,top
RV5,83.02,-121.18,0.0,top
C2,77.89,-78.65,90.0,top
RV3,61.86,-72.45,180.0,top
RV2,82.82,-72.42,0.0,top
RV1,82.8,-92.6,0.0,top
Sensor4,61.56,-79.88,90.0,top
Sensor3,61.56,-87.12,90.0,top
Sensor2,82.89,-77.92,-90.0,top
Sensor1,82.9,-85.05,-90.0,top
RV16,49.2,-101.0,180.0,top
R1,41.4,-82.575,-90.0,top
C4,66.62,-85.62,-90.0,top
C1,77.91,-85.63,-90.0,top
C3,66.58,-78.66,90.0,top
RV4,61.8,-92.53,180.0,top
